score,year,,
70,2016,,
100,2016,,
75,2016,,
95,2016,,
78,2016,,
53,2016,,
77,2016,,
68,2016,,
17,2016,,
100,2016,,
79,2016,,
71,2016,,
86,2016,,
91,2016,,
88,2016,,
90,2016,,
81,2016,,
95,2016,,
80,2016,,
74,2016,,
42,2016,,
98,2016,,
80,2016,,
93,2016,,
83,2016,,
98,2016,,
100,2016,,
94,2016,,
83,2016,,
95,2016,,
40,2016,,
85,2016,,
40,2016,,
50,2016,,
69,2016,,
97,2016,,
91,2016,,
65,2016,,
95,2016,,
56,2016,,
40,2016,,
100,2016,,
55,2016,,
93,2016,,
90,2016,,
90,2016,,
94,2016,,
20,2016,,
91,2016,,
82,2016,,
51,2016,,
70,2016,,
57,2016,,
93,2016,,
91,2016,,
89,2016,,
50,2016,,
98,2016,,
45,2016,,
100,2016,,
93,2016,,
90,2016,,
90,2016,,
90,2016,,
71,2016,,
95,2016,,
98,2016,,
100,2016,,
96,2016,,
99,2016,,
90,2016,,
100,2016,,
17,2016,,
61,2016,,
55,2016,,
78,2016,,
95,2016,,
60,2016,,
73,2016,,
0,2016,,
100,2016,,
87,2016,,
52,2016,,
73,2016,,
71,2016,,
68,2016,,
75,2016,,
79,2016,,
85,2016,,
67,2016,,
58,2016,,
52,2016,,
60,2016,,
51,2016,,
68,2016,,
92,2016,,
72,2016,,
95,2016,,
30,2016,,
83,2016,,
90,2016,,
60,2016,,
73,2016,,
34,2016,,
78,2016,,
72,2016,,
74,2016,,
81,2016,,
55,2016,,
88,2016,,
83,2016,,
90,2016,,
100,2016,,
87,2016,,
100,2016,,
16,2016,,
81,2016,,
60,2016,,
100,2016,,
100,2016,,
60,2016,,
61,2016,,
88,2016,,
94,2016,,
90,2016,,
97,2016,,
84,2016,,
80,2016,,
95,2016,,
27,2016,,
83,2016,,
95,2016,,
91,2016,,
83,2016,,
35,2016,,
85,2016,,
33,2016,,
68,2016,,
67,2016,,
67,2016,,
67,2016,,
21,2017,,
81,2017,,
22,2017,,
8,2017,,
88,2017,,
65,2017,,
0,2017,,
89,2017,,
68,2017,,
68,2017,,
35,2017,,
5,2017,,
73,2017,,
52,2017,,
40,2017,,
7,2017,,
77,2017,,
8,2017,,
10,2017,,
80,2017,,
60,2017,,
60,2017,,
7,2017,,
66,2017,,
90,2017,,
64,2017,,
86,2017,,
94,2017,,
80,2017,,
83,2017,,
73,2017,,
68,2017,,
81,2017,,
73,2017,,
95,2017,,
88,2017,,
35,2017,,
87,2017,,
90,2017,,
95,2017,,
51,2017,,
83,2017,,
72,2017,,
94,2017,,
82,2017,,
65,2017,,
94,2017,,
100,2017,,
88,2017,,
86,2017,,
83,2017,,
55,2017,,
71,2017,,
75,2017,,
92,2017,,
67,2017,,
58,2017,,
96,2017,,
64,2017,,
94,2017,,
88,2017,,
90,2017,,
87,2017,,
64,2017,,
90,2017,,
67,2017,,
98,2017,,
85,2017,,
93,2017,,
95,2017,,
100,2017,,
95,2017,,
92,2017,,
100,2017,,
92,2017,,
69,2017,,
100,2017,,
27,2017,,
75,2017,,
100,2017,,
96,2017,,
100,2017,,
42,2017,,
82,2017,,
95,2017,,
86,2017,,
89,2017,,
87,2017,,
100,2017,,
93,2017,,
100,2017,,
68,2017,,
83,2017,,
73,2017,,
82,2017,,
100,2017,,
98,2017,,
87,2017,,
45,2017,,
98,2017,,
100,2017,,
100,2017,,
83,2017,,
40,2017,,
97,2017,,
34,2017,,
74,2017,,
55,2017,,
84,2017,,
78,2017,,
94,2017,,
51,2017,,
88,2017,,
72,2017,,
86,2017,,
97,2017,,
88,2017,,
62,2017,,
68,2017,,
82,2017,,
95,2017,,
100,2017,,
52,2017,,
76,2017,,
79,2017,,
97,2017,,
98,2017,,
77,2017,,
49,2017,,
85,2017,,
92,2017,,
67,2017,,
100,2017,,
94,2017,,
74,2017,,
69,2017,,
80,2017,,
14,2018,,
37,2018,,
56,2018,,
5,2018,,
42,2018,,
38,2018,,
25,2018,,
37,2018,,
83,2018,,
77,2018,,
57,2018,,
40,2018,,
72,2018,,
87,2018,,
61,2018,,
82,2018,,
44,2018,,
92,2018,,
92,2018,,
63,2018,,
74,2018,,
98,2018,,
75,2018,,
22,2018,,
74,2018,,
72,2018,,
74,2018,,
98,2018,,
100,2018,,
83,2018,,
48,2018,,
97,2018,,
79,2018,,
100,2018,,
95,2018,,
71,2018,,
100,2018,,
55,2018,,
65,2018,,
87,2018,,
55,2018,,
61,2018,,
56,2018,,
49,2018,,
88,2018,,
100,2018,,
100,2018,,
98,2018,,
74,2018,,
88,2018,,
71,2018,,
84,2018,,
90,2018,,
95,2018,,
95,2018,,
76,2018,,
70,2018,,
64,2018,,
69,2018,,
82,2018,,
80,2018,,
53,2018,,
85,2018,,
19,2018,,
90,2018,,
61,2018,,
70,2018,,
89,2018,,
75,2018,,
91,2018,,
70,2018,,
47,2018,,
94,2018,,
52,2018,,
52,2018,,
70,2018,,
86,2018,,
79,2018,,
72,2018,,
97,2018,,
88,2018,,
85,2018,,
47,2018,,
61,2018,,
69,2018,,
67,2018,,
81,2018,,
50,2018,,
25,2018,,
38,2018,,
61,2018,,
98,2018,,
90,2018,,
94,2018,,
55,2018,,
95,2018,,
72,2018,,
47,2018,,
98,2018,,
60,2018,,
95,2018,,
100,2018,,
78,2018,,
54,2018,,
60,2018,,
85,2018,,
84,2018,,
79,2018,,
73,2018,,
85,2018,,
61,2018,,
72,2018,,
71,2018,,
65,2018,,
57,2018,,
48,2018,,
75,2018,,
66,2018,,
67,2018,,
83,2018,,
52,2018,,
42,2018,,
53,2018,,
92,2018,,
