"Fractal lognormal percentage assessment of petroleum field sizes in a play-application of a generalized 20/80 law 1995, Crovelli, R. A. USGS Open-File Report: 95-646",,,,
,,,,
,,,,
n,Field size(MMBOE),Ln of field size,Partial sum of field sizes,Statistic q Partial/Total
1,14.25,,,
2,12,,,
3,7.8,,,
4,5.4,,,
5,5.2,,,
6,5.15,,,
7,5.1,,,
8,4.6,,,
9,4.6,,,
10,4.5,,,
11,4.5,,,
12,4.2,,,
13,3.95,,,
14,3.9,,,
15,3.8,,,
16,3.7,,,
17,3.65,,,
18,3.6,,,
19,3.6,,,
20,3.45,,,
21,3.4,,,
22,3.4,,,
23,3.3,,,
24,3.3,,,
25,3.3,,,
26,3.15,,,
27,3,,,
28,3,,,
29,3,,,
30,2.95,,,
31,2.9,,,
32,2.8,,,
33,2.75,,,
34,2.75,,,
35,2.7,,,
36,2.6,,,
37,2.6,,,
38,2.6,,,
39,2.45,,,
40,2.4,,,
41,2.4,,,
42,2.4,,,
43,2.38,,,
44,2.35,,,
45,2.35,,,
46,2.25,,,
47,2.1,,,
48,2.08,,,
49,2,,,
50,2,,,
51,1.95,,,
52,1.9,,,
53,1.9,,,
54,1.85,,,
55,1.82,,,
56,1.8,,,
57,1.75,,,
58,1.75,,,
59,1.71,,,
60,1.7,,,
61,1.68,,,
62,1.68,,,
63,1.66,,,
64,1.65,,,
65,1.65,,,
66,1.6,,,
67,1.6,,,
68,1.6,,,
69,1.6,,,
70,1.55,,,
71,1.5,,,
72,1.45,,,
73,1.42,,,
74,1.4,,,
75,1.4,,,
76,1.4,,,
77,1.35,,,
78,1.35,,,
79,1.3,,,
80,1.3,,,
81,1.3,,,
82,1.3,,,
83,1.3,,,
84,1.28,,,
85,1.27,,,
86,1.27,,,
87,1.26,,,
88,1.22,,,
89,1.22,,,
90,1.21,,,
91,1.2,,,
92,1.2,,,
93,1.2,,,
94,1.18,,,
95,1.18,,,
96,1.17,,,
97,1.16,,,
98,1.16,,,
99,1.15,,,
100,1.15,,,
101,1.15,,,
102,1.15,,,
103,1.14,,,
104,1.13,,,
105,1.1,,,
106,1.08,,,
107,1.06,,,
108,1.02,,,
109,1.02,,,
110,1,,,
111,1,,,
112,1,,,
113,0.99,,,
114,0.96,,,
115,0.96,,,
116,0.96,,,
117,0.95,,,
118,0.95,,,
119,0.93,,,
120,0.93,,,
121,0.93,,,
122,0.91,,,
123,0.91,,,
124,0.9,,,
125,0.9,,,
126,0.9,,,
127,0.88,,,
128,0.87,,,
129,0.86,,,
130,0.85,,,
131,0.85,,,
132,0.84,,,
133,0.83,,,
134,0.83,,,
135,0.82,,,
136,0.8,,,
137,0.8,,,
138,0.8,,,
139,0.78,,,
140,0.78,,,
141,0.77,,,
142,0.75,,,
143,0.75,,,
144,0.75,,,
145,0.74,,,
146,0.73,,,
147,0.71,,,
148,0.7,,,
149,0.68,,,
150,0.68,,,
151,0.68,,,
152,0.66,,,
153,0.66,,,
154,0.65,,,
155,0.65,,,
156,0.65,,,
157,0.63,,,
158,0.63,,,
159,0.62,,,
160,0.6,,,
161,0.6,,,
162,0.58,,,
163,0.58,,,
164,0.55,,,
165,0.5,,,
166,0.49,,,
167,0.45,,,
168,0.4,,,
169,0.4,,,
170,0.38,,,
171,0.34,,,
172,0.33,,,
173,0.24,,,
174,0.18,,,
175,0.11,,,
