ダウンロードした時刻：2023/06/18 18:13:43

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2022/6/17,27.8,8,1,曇後一時晴,8,1
2022/6/18,25.5,8,1,曇後一時雨,8,1
2022/6/19,27.8,8,1,晴時々曇,8,1
2022/6/20,29.9,8,1,曇時々晴,8,1
2022/6/21,28.5,8,1,曇後時々雨,8,1
2022/6/22,27.0,8,1,曇時々雨,8,1
2022/6/23,28.1,8,1,曇後時々雨,8,1
2022/6/24,30.6,8,1,晴一時曇,8,1
2022/6/25,32.8,8,1,晴,8,1
2022/6/26,33.1,8,1,晴,8,1
2022/6/27,34.7,8,1,晴後一時曇,8,1
2022/6/28,33.2,8,1,晴,8,1
2022/6/29,33.1,8,1,晴,8,1
2022/6/30,36.1,8,1,晴,8,1
2022/7/1,34.2,8,1,晴,8,1
2022/7/2,32.9,8,1,晴時々曇,8,1
2022/7/3,32.5,8,1,雨時々曇,8,1
2022/7/4,28.5,8,1,雨時々曇,8,1
2022/7/5,30.2,8,1,曇時々晴後雨,8,1
2022/7/6,30.6,8,1,曇時々雨、雷を伴う,8,1
2022/7/7,29.0,8,1,曇一時雨後晴,8,1
2022/7/8,29.2,8,1,晴時々曇,8,1
2022/7/9,30.6,8,1,曇時々晴,8,1
2022/7/10,30.7,8,1,曇一時雨後晴,8,1
2022/7/11,33.8,8,1,晴一時曇,8,1
2022/7/12,30.6,8,1,曇時々雨,8,1
2022/7/13,26.0,8,1,雨時々曇,8,1
2022/7/14,28.0,8,1,曇後時々雨,8,1
2022/7/15,25.6,8,1,大雨時々曇、雷を伴う,8,1
2022/7/16,25.1,8,1,雨時々曇、雷を伴う,8,1
2022/7/17,30.1,8,1,雨後曇時々晴、雷を伴う,8,1
2022/7/18,31.9,8,1,曇一時雨後時々晴,8,1
2022/7/19,28.5,8,1,雨時々曇、雷を伴う,8,1
2022/7/20,34.4,8,1,曇,8,1
2022/7/21,31.4,8,1,曇後一時雨一時晴,8,1
2022/7/22,32.5,8,1,曇一時雨後晴、雷を伴う,8,1
2022/7/23,32.8,8,1,晴,8,1
2022/7/24,32.6,8,1,晴,8,1
2022/7/25,32.7,8,1,晴後曇,8,1
2022/7/26,29.7,8,1,雨時々曇、雷を伴う,8,1
2022/7/27,32.2,8,1,曇一時雨後晴,8,1
2022/7/28,33.0,8,1,晴,8,1
2022/7/29,33.6,8,1,晴,8,1
2022/7/30,33.5,8,1,晴,8,1
2022/7/31,35.2,8,1,晴後一時曇,8,1
2022/8/1,35.0,8,1,晴,8,1
2022/8/2,35.6,8,1,晴,8,1
2022/8/3,36.2,8,1,晴時々曇、雷を伴う,8,1
2022/8/4,30.4,8,1,雨時々曇、雷を伴う,8,1
2022/8/5,28.1,8,1,曇後一時晴,8,1
2022/8/6,29.7,8,1,曇一時雨,8,1
2022/8/7,31.4,8,1,曇時々雨一時晴、雷を伴う,8,1
2022/8/8,32.7,8,1,晴後一時曇,8,1
2022/8/9,33.4,8,1,晴,8,1
2022/8/10,33.4,8,1,晴,8,1
2022/8/11,33.1,8,1,晴時々曇,8,1
2022/8/12,31.4,8,1,雨時々晴後曇、雷を伴う,8,1
2022/8/13,29.4,8,1,大雨時々曇、雷を伴う,8,1
2022/8/14,33.0,8,1,曇一時雨後晴,8,1
2022/8/15,33.1,8,1,曇時々晴,8,1
2022/8/16,33.1,8,1,曇時々晴,8,1
2022/8/17,33.4,8,1,曇時々雨後晴、雷を伴う,8,1
2022/8/18,30.2,8,1,雨後曇時々晴、雷を伴う,8,1
2022/8/19,32.6,8,1,晴,8,1
2022/8/20,30.5,8,1,曇一時晴後一時雨,8,1
2022/8/21,29.6,8,1,曇一時雨,8,1
2022/8/22,29.3,8,1,曇一時雨後晴,8,1
2022/8/23,32.2,8,1,曇後一時晴,8,1
2022/8/24,33.2,8,1,晴後曇一時雨、雷を伴う,8,1
2022/8/25,28.7,8,1,曇一時雨,8,1
2022/8/26,31.9,8,1,曇時々雨、雷を伴う,8,1
2022/8/27,33.3,8,1,晴,8,1
2022/8/28,28.1,8,1,雨後曇一時晴,8,1
2022/8/29,26.9,8,1,曇時々晴一時雨,8,1
2022/8/30,26.0,8,1,雨時々曇,8,1
2022/8/31,31.9,8,1,曇一時雨後晴,8,1
2022/9/1,31.8,8,1,雨後曇一時晴、雷を伴う,8,1
2022/9/2,26.6,8,1,雨時々曇、雷を伴う,8,1
2022/9/3,28.8,8,1,曇時々晴,8,1
2022/9/4,31.5,8,1,曇一時雨後晴,8,1
2022/9/5,31.2,8,1,晴一時曇,8,1
2022/9/6,31.7,8,1,晴時々雨一時曇,8,1
2022/9/7,28.9,8,1,曇時々雨,8,1
2022/9/8,28.4,8,1,曇時々雨,8,1
2022/9/9,28.4,8,1,曇時々雨,8,1
2022/9/10,29.8,8,1,晴,8,1
2022/9/11,29.0,8,1,曇時々晴,8,1
2022/9/12,31.3,8,1,晴一時曇,8,1
2022/9/13,29.8,8,1,曇後晴,8,1
2022/9/14,30.8,8,1,晴時々曇,8,1
2022/9/15,26.2,8,1,曇,8,1
2022/9/16,30.6,8,1,晴,8,1
2022/9/17,31.1,8,1,曇時々晴,8,1
2022/9/18,26.9,8,1,大雨時々曇、雷を伴う,8,1
2022/9/19,30.2,8,1,曇時々晴後大雨、雷を伴う,8,1
2022/9/20,28.0,8,1,雨時々曇,8,1
2022/9/21,24.4,8,1,曇一時雨,8,1
2022/9/22,23.3,8,1,曇一時晴後時々雨,8,1
2022/9/23,24.9,8,1,曇時々雨,8,1
2022/9/24,27.3,8,1,雨後曇時々晴、雷を伴う,8,1
2022/9/25,27.3,8,1,晴,8,1
2022/9/26,28.4,8,1,晴,8,1
2022/9/27,28.2,8,1,晴後時々曇,8,1
2022/9/28,27.2,8,1,晴後一時曇,8,1
2022/9/29,24.7,8,1,曇時々雨,8,1
2022/9/30,28.1,8,1,晴,8,1
2022/10/1,28.8,8,1,晴,8,1
2022/10/2,28.8,8,1,晴,8,1
2022/10/3,27.5,8,1,曇後時々晴,8,1
2022/10/4,28.8,8,1,晴後一時曇,8,1
2022/10/5,25.6,8,1,雨時々曇,8,1
2022/10/6,15.9,8,1,雨時々曇,8,1
2022/10/7,13.8,8,1,大雨,8,1
2022/10/8,21.0,8,1,曇,8,1
2022/10/9,21.4,8,1,曇後一時雨,8,1
2022/10/10,25.9,8,1,曇時々雨一時晴,8,1
2022/10/11,25.7,8,1,曇時々晴,8,1
2022/10/12,19.9,8,1,雨時々曇,8,1
2022/10/13,18.3,8,1,雨時々曇,8,1
2022/10/14,19.8,8,1,雨時々曇,8,1
2022/10/15,24.9,8,1,曇一時雨後時々晴,8,1
2022/10/16,25.8,8,1,晴後時々曇,8,1
2022/10/17,22.7,8,1,曇時々雨,8,1
2022/10/18,19.2,8,1,曇一時雨,8,1
